target_date,split,holiday_family,holiday_segment,target_refined_date_type,route_name,actual_daily_total,pred_daily_total,similar_reference_dates,similar_reference_tags,similar_reference_scores,similar_reference_weights
2026-01-07,validation,,other,workday_w2,ordinary_similar:workday,21.898159999999997,19.69128218674014,2025-01-08|2024-12-25|2025-01-15,after:New Year's Day:w1|before:New Year's Day:w1|before:Spring Festival:w2,48.666667|24.916667|24.583333,0.495756|0.253820|0.250424
2026-01-08,validation,,other,workday_w3,ordinary_similar:workday,21.7565,20.316678185015352,2025-01-09|2024-12-26|2025-01-16,after:New Year's Day:w2|before:New Year's Day:w1|before:Spring Festival:w2,37.166667|24.916667|24.583333,0.428846|0.287500|0.283654
2026-01-09,validation,,other,workday_w4,ordinary_similar:workday,22.876199999999997,20.903005615150143,2025-01-10|2024-12-27|2025-01-17,after:New Year's Day:w2|before:New Year's Day:w1|before:Spring Festival:w2,37.166667|24.916667|24.583333,0.428846|0.287500|0.283654
2026-01-10,validation,,other,weekend_w5,ordinary_similar:weekend,22.73238,21.04228586340435,2025-01-11|2024-12-28|2025-01-18,after:New Year's Day:w2|before:New Year's Day:w1|before:Spring Festival:w2,37.166667|24.916667|24.583333,0.428846|0.287500|0.283654
2026-01-11,validation,,other,weekend_w6,ordinary_similar:weekend,20.61355,20.382622370983388,2025-01-12|2025-01-05|2025-01-19,after:New Year's Day:w2|after:New Year's Day:w1|before:Spring Festival:w2,48.666667|31.250000|27.083333,0.454829|0.292056|0.253115
2026-01-12,validation,,other,workday_w0,ordinary_similar:workday,23.25063,20.946458903635847,2025-01-13|2025-01-06|2025-01-20,after:New Year's Day:w2|after:New Year's Day:w1|before:Spring Festival:w2,48.666667|31.250000|27.083333,0.454829|0.292056|0.253115
2026-01-13,validation,,other,workday_w1,ordinary_similar:workday,19.174239999999998,21.1572926449234,2025-01-14|2025-01-07|2025-01-21,after:New Year's Day:w2|after:New Year's Day:w1|before:Spring Festival:w1,48.666667|31.250000|24.583333,0.465710|0.299043|0.235247
2026-01-14,validation,,other,workday_w2,ordinary_similar:workday,20.198790000000002,21.182866244352883,2025-01-15|2025-01-08|2026-01-07,before:Spring Festival:w2|after:New Year's Day:w1|after:New Year's Day:w1,33.666667|31.250000|25.494444,0.372373|0.345643|0.281984
2026-01-15,validation,,other,workday_w3,ordinary_similar:workday,19.85837,21.933783066622333,2025-01-09|2025-01-16|2026-01-08,after:New Year's Day:w2|before:Spring Festival:w2|after:New Year's Day:w1,42.750000|33.666667|25.494444,0.419483|0.330353|0.250164
2026-01-16,validation,,other,workday_w4,ordinary_similar:workday,21.82803,22.401140280576634,2025-01-10|2025-01-17|2026-01-09,after:New Year's Day:w2|before:Spring Festival:w2|after:New Year's Day:w1,42.750000|33.666667|25.494444,0.419483|0.330353|0.250164
