sample_id,site_id,site_name,city_cn,issue_date,target_date,target_refined_date_type,hour,actual_load,predicted_load
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,0,,1.7773167022811642
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,1,,1.261079373320465
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,2,,0.9512161859139008
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,3,,0.7891812064861274
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,4,,0.6905193719050856
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,5,,0.7698128885783668
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,6,,1.0644466578995742
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,7,,1.2600796908422895
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,8,,0.5246458107272252
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,9,,0.4801475546655646
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,10,,0.3068928142272402
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,11,,0.3270516456285418
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,12,,1.1050322570916444
all_equivalent5_ext_20260308,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-02,2026-03-08,weekend_w6,13,,0.9506822022354096
