sample_id,site_id,site_name,city_cn,issue_date,target_date,target_refined_date_type,hour,actual_load,predicted_load
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,0,,4.645532781597055
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,1,,4.67816144023828
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,2,,4.44733123016814
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,3,,4.238268179059912
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,4,,4.124046522158457
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,5,,4.257166674579166
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,6,,4.241262705197712
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,7,,5.39603512919612
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,8,,8.159045767211913
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,9,,9.266404756908099
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,10,,9.068031336593844
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,11,,8.899146918789514
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,12,,8.19852859293053
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,13,,8.372070019917553
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,14,,8.78576480573006
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,15,,8.941214059054694
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,16,,9.06084551920441
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,17,,8.665038378188264
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,18,,8.12732363983213
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,19,,7.828840751149353
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,20,,7.4888856002988415
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,21,,6.289380298442957
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,22,,5.581035363118113
all_equivalent5_ext_20260310,all_equivalent5_ext,五家公司等价总量扩展版,广东,2026-03-04,2026-03-10,workday_w1,23,,5.068409088521307
