holiday_family,train_rows,special_daily_accuracy_percent,base_daily_accuracy_percent,accuracy_lift_percent,is_active,activation_reason,sample_dates,similar_top_k,similar_alpha
Dragon Boat Festival,9,90.62511276382747,83.53697512611427,7.088137637713203,1,special_better,"2025-05-28,2025-05-29,2025-05-30,2025-05-31,2025-06-01,2025-06-02,2025-06-03,2025-06-04,2025-06-05",,
Labour Day,11,97.13074204796956,76.57163113932029,20.559110908649274,1,special_better,"2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,2025-05-03,2025-05-04,2025-05-05,2025-05-06,2025-05-07,2025-05-08",,
Mid-autumn Festival,2,100.0,41.30528204957006,58.69471795042994,1,special_better,"2025-10-06,2025-10-09",,
National Day,12,84.63152657558307,65.92049547898542,18.71103109659765,1,special_better,"2025-09-28,2025-09-29,2025-09-30,2025-10-01,2025-10-02,2025-10-03,2025-10-04,2025-10-05,2025-10-07,2025-10-08,2025-10-10,2025-10-11",,
Spring Festival,14,84.16813418425903,-52.022792817747444,136.19092700200648,1,special_better,"2025-01-25,2025-01-26,2025-01-27,2025-01-28,2025-01-29,2025-01-30,2025-01-31,2025-02-01,2025-02-02,2025-02-03,2025-02-04,2025-02-05,2025-02-06,2025-02-07",,
Tomb-sweeping Day,9,96.98559917628008,80.45214907465638,16.5334501016237,1,special_better,"2025-04-01,2025-04-02,2025-04-03,2025-04-04,2025-04-05,2025-04-06,2025-04-07,2025-04-08,2025-04-09",,
New Year's Day,3,96.99512147731592,96.97497334052866,0.02014813678725602,0,base_better_or_insufficient_rows,"2025-12-29,2025-12-30,2025-12-31",,
__generic_makeup__,3,62.00125637061856,63.11094514776158,-1.1096887771430204,0,base_better,"2024-10-12,2025-02-08,2025-04-27",,
__ordinary_weekend__,162,93.70445759545366,89.15167044030167,4.552787155151989,1,special_better,"2025-10-25,2025-10-26,2025-11-01,2025-11-02,2025-11-08,2025-11-09,2025-11-15,2025-11-16,2025-11-22,2025-11-23,2025-11-29,2025-11-30,2025-12-06,2025-12-07,2025-12-13,2025-12-14,2025-12-20,2025-12-21,2025-12-27,2025-12-28",3.0,0.65
__ordinary_workday__,406,92.89294150388457,90.2901223125176,2.602819191366976,1,special_better,"2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26",3.0,0.65
